문항아이디,문제,해설
E62CB052A001700T22,"<p class=""para0"" style=""text-align:left;color:black;"">색칠한 부분의 넓이는 몇 <span data-mathinfo=""88,1000,1800,1175;;rmcm ^{2}"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  \rm { cm ^ { 2 } } "">\(\displaystyle \rm { cm ^ { 2 } } \)</span>일까요? (원주율: <span data-mathinfo=""86,1000,525,975;;3"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  3 "">\(\displaystyle 3 \)</span>)</p><p class=""img_wrap"" style=""text-align:center;color:black;""><img style=""width:96px;"" src=""https://dela4pam71omq.cloudfront.net/svc07/2023/08/03/0xFD8228A631E411EE8F9C86FE20CAEA7D.png"" data-width=""96px, 96px""></p><p class=""para0"" style=""text-align:right;color:black;""><span data-mathinfo=""78,1000,3105,1195;;box~~~~~~"" class=""itexmath itexboxevt_parent"" contenteditable=""false"" data-latex=""\displaystyle  \class{itexboxevt}{} \boxed { \,\, \,\, \,\, \,\, \,\, \,\, \mathstrut } "">\(\displaystyle \class{itexboxevt}{} \boxed { \,\, \,\, \,\, \,\, \,\, \,\, \mathstrut } \)</span><span data-mathinfo=""88,1000,2050,1175;;``rmcm^2"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  \rm { cm ^ { 2 } } "">\(\displaystyle \rm { cm ^ { 2 } } \)</span></p>","<p class=""para0"" style=""text-align:left;color:black;"">(가장 큰 원의 지름)<span data-mathinfo=""86,1000,4240,975;;=16+20"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  =16+20 "">\(\displaystyle =16+20 \)</span><span data-mathinfo=""86,1000,2085,975;;=36"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  =36 "">\(\displaystyle =36 \)</span>(<span data-mathinfo=""86,1000,1425,1000;;rmcm"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  \rm cm "">\(\displaystyle \rm cm \)</span>)</p><p class=""para0"" style=""text-align:left;color:black;"">➡ (색칠한 부분의 넓이)</p><p class=""para0"" style=""text-align:left;color:black;"">   <span data-mathinfo=""86,1000,825,975;;="" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  = "">\(\displaystyle = \)</span>(가장 큰 원의 넓이)</p><p class=""para0"" style=""text-align:right;color:black;""><span data-mathinfo=""86,1000,825,975;;-"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  - "">\(\displaystyle - \)</span>(두 번째로 큰 원의 넓이)<span data-mathinfo=""86,1000,825,975;;-"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  - "">\(\displaystyle - \)</span>(가장 작은 원의 넓이)</p><p class=""para0"" style=""text-align:left;color:black;"">   <span data-mathinfo=""86,1000,16700,975;;=18 TIMES  18 TIMES  3-10 TIMES  10 TIMES  3-8 TIMES  8 TIMES  3"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  =18 \times 18 \times 3-10 \times 10 \times 3-8 \times 8 \times 3 "">\(\displaystyle =18 \times 18 \times 3-10 \times 10 \times 3-8 \times 8 \times 3 \)</span></p><p class=""para0"" style=""text-align:left;color:black;"">   <span data-mathinfo=""86,1000,7970,975;;=972-300-192"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  =972-300-192 "">\(\displaystyle =972-300-192 \)</span><span data-mathinfo=""86,1000,2610,975;;=480"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  =480 "">\(\displaystyle =480 \)</span>(<span data-mathinfo=""88,1000,1800,1175;;rm cm ^{2}"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  \rm { cm ^ { 2 } } "">\(\displaystyle \rm { cm ^ { 2 } } \)</span>)</p>"
E62DF073A003500R23,"<p class=""img_wrap"" style=""text-align: left; color: black;""><img style=""width:274px;"" src=""https://dela4pam71omq.cloudfront.net/svc07/2023/09/01/0x29B938A4487111EEBAEBC30F21CAEA7D.jpg"" data-width=""192px, 274px""></p>",
E52CF085A000301T22,"<p class=""para0"" style=""text-align:left;color:black;"">빈칸에 알맞은 수를 써넣으세요.</p><p class=""img_wrap"" style=""text-align:center;color:black;""><img style=""width:128px;"" src=""https://dela4pam71omq.cloudfront.net/svc07/2023/08/03/0xD2F787BA31BD11EE899F49F920CAEA7D.png"" data-width=""44px, 128px""></p>","<p class=""para0"" style=""text-align:left;color:black;""><span data-mathinfo=""86,1000,6100,975;;7times4.1=28.7"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  7\times 4.1=28.7 "">\(\displaystyle 7\times 4.1=28.7 \)</span></p>"
M31AA143A099800T22,"<p class=""para0"" style=""text-align:left;color:black;"">이차방정식 <span data-mathinfo=""89,1000,6470,1163;;25x ^{2} +20x+4"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  { 25x ^ { 2 } } +20x+4 "">\(\displaystyle { 25x ^ { 2 } } +20x+4 \)</span><span data-mathinfo=""86,1000,1560,975;;=0"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  =0 "">\(\displaystyle =0 \)</span>의 근의 개수를 구하시오.</p>","<p class=""para0"" style=""text-align:left;color:black;""><span data-mathinfo=""89,1000,6900,1163;;20 ^{2} -4 TIMES 25 TIMES 4"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  { 20 ^ { 2 } } -4 \times 25 \times 4 "">\(\displaystyle { 20 ^ { 2 } } -4 \times 25 \times 4 \)</span><span data-mathinfo=""86,1000,1560,975;;=0"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  =0 "">\(\displaystyle =0 \)</span></p><p class=""para0"" style=""text-align:left;color:black;"">따라서 중근을 갖는다.</p>"
E62DF094A001600T22,"<p class=""para0"" style=""text-align:left;color:black;"">원주가 <span data-mathinfo=""86,1000,4600,1000;;200.96``rmcm"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  200.96 \rm cm "">\(\displaystyle 200.96 \rm cm \)</span>인 원이 있습니다. 이 원의 반지름은 몇 <span data-mathinfo=""86,1000,1425,1000;;rmcm"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  \rm cm "">\(\displaystyle \rm cm \)</span>일까요? (원주율: <span data-mathinfo=""86,1000,1875,975;;3.14"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  3.14 "">\(\displaystyle 3.14 \)</span>)</p><p class=""para0"" style=""text-align:right;color:black;""><span data-mathinfo=""78,1000,3780,1195;;box{~~~~}``rmcm"" class=""itexmath itexboxevt_parent"" contenteditable=""false"" data-latex=""\displaystyle  \class{itexboxevt}{} \boxed { \,\, \,\, \,\, \,\, \mathstrut } \rm cm "">\(\displaystyle \class{itexboxevt}{} \boxed { \,\, \,\, \,\, \,\, \mathstrut } \rm cm \)</span></p>","<p class=""para0"" style=""text-align:left;color:black;"">원의 반지름을 □<span data-mathinfo=""86,1000,1675,1000;;``rmcm"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  \rm cm "">\(\displaystyle \rm cm \)</span>라고 하면 □<span data-mathinfo=""86,1000,8640,975;;times2times3.14=200.96"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  \times 2\times 3.14=200.96 "">\(\displaystyle \times 2\times 3.14=200.96 \)</span>, □<span data-mathinfo=""86,1000,10865,975;;=200.96divide3.14divide2=32"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  =200.96\div 3.14\div 2=32 "">\(\displaystyle =200.96\div 3.14\div 2=32 \)</span>입니다.</p><p class=""para0"" style=""text-align:left;color:black;"">따라서 원의 반지름은 <span data-mathinfo=""86,1000,2725,1000;;32``rmcm"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  32 \rm cm "">\(\displaystyle 32 \rm cm \)</span>입니다.</p>"
M22GA083A000700R22,"<p class=""img_wrap"" style=""text-align: left; color: black;""><img style=""width:370px;"" src=""https://dela4pam71omq.cloudfront.net/svc07/2023/06/29/0x13DC4DDC161711EEA4E11D382F51C9CB.jpg"" data-width=""190px, 370px""></p>",
M22AK075A004700R22,"<p class=""img_wrap"" style=""text-align: left; color: black;""><img style=""width:272px;"" src=""https://dela4pam71omq.cloudfront.net/svc07/2024/05/14/0x0738B1C011AB11EF9705370A21CAEA7D.jpg"" data-width=""116px, 272px""></p>",
E62LB077A000500R22,"<p class=""img_wrap"" style=""text-align: left; color: black;""><img style=""width:288px;"" src=""https://dela4pam71omq.cloudfront.net/svc07/2024/06/12/0x6EDCB39A285211EFAB76E00821CAEA7D.png"" data-width=""134px, 288px""></p>",
H11HB049A0003000T23,"<p class=""para0"" style=""text-align:left;color:black;"">복소수 <span data-mathinfo=""66,1000,3105,2250;;{1} over {x-y i} "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  { \dfrac { 1 } { x-y i } } "">\(\displaystyle { \dfrac { 1 } { x-y i } } \)</span>의 실수부분을 <span data-mathinfo=""86,1000,525,975;;a "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  a "">\(\displaystyle a \)</span>, 허수부분을 <span data-mathinfo=""86,1000,450,975;;b "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  b "">\(\displaystyle b \)</span>라 할 때, <span data-mathinfo=""89,1000,5275,1163;;a^{2}+b^{2}= 12"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  { a ^ { 2 } } { +b ^ { 2 } } = 12 "">\(\displaystyle { a ^ { 2 } } { +b ^ { 2 } } = 12 \)</span>를 만족시킨다. 이때, <span data-mathinfo=""61,1000,3540,2438;;{1} over {x^{2}+y^{2}} "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  { \dfrac { 1 } { { x ^ { 2 } } { +y ^ { 2 } } } } "">\(\displaystyle { \dfrac { 1 } { { x ^ { 2 } } { +y ^ { 2 } } } } \)</span>의 값을 구하시오. (단, <span data-mathinfo=""86,1000,600,975;;x"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  x "">\(\displaystyle x \)</span>, <span data-mathinfo=""86,1000,525,975;; y "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  y "">\(\displaystyle y \)</span>는 실수이다.)</p>","<p class=""para0"" style=""text-align:left;color:black;""><span data-mathinfo=""66,1000,6595,2250;;{1} over {x-yi} =a+bi  "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  { \dfrac { 1 } { x-yi } } =a+bi "">\(\displaystyle { \dfrac { 1 } { x-yi } } =a+bi \)</span>에서</p><p class=""para0"" style=""text-align:left;color:black;""><span data-mathinfo=""61,1000,20695,2438;;x-yi= {1} over {a+bi} = {a-bi} over {a ^{2} +b ^{2}} = {a-bi} over {12} = {a} over {12} - {b} over {12} i"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  x-yi= { \dfrac { 1 } { a+bi } } = { \dfrac { a-bi } { { a ^ { 2 } } { +b ^ { 2 } } } } = { \frac { a-bi } { 12 } } = { \frac { a } { 12 } } - { \dfrac { b } { 12 } } i "">\(\displaystyle x-yi= { \dfrac { 1 } { a+bi } } = { \dfrac { a-bi } { { a ^ { 2 } } { +b ^ { 2 } } } } = { \frac { a-bi } { 12 } } = { \frac { a } { 12 } } - { \dfrac { b } { 12 } } i \)</span></p><p class=""para0"" style=""text-align:left;color:black;"">복소수가 서로 같을 조건에 의하여</p><p class=""para0"" style=""text-align:left;color:black;""><span data-mathinfo=""66,1000,3395,2250;;x={a} over {12}"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  x= { \dfrac { a } { 12 } } "">\(\displaystyle x= { \dfrac { a } { 12 } } \)</span>, <span data-mathinfo=""66,1000,3320,2250;; y= {b} over {12} "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  y= { \dfrac { b } { 12 } } "">\(\displaystyle y= { \dfrac { b } { 12 } } \)</span></p><p class=""para0"" style=""text-align:left;color:black;""><span data-mathinfo=""64,1000,13310,2626;;x ^{2} +y ^{2} = {a ^{2} +b ^{2}} over {12 ^{2}} = {12} over {12 ^{2}} = {1} over {12}"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  { x ^ { 2 } } { +y ^ { 2 } } = { \frac { { a ^ { 2 } } { +b ^ { 2 } } } { 12 ^ { 2 } } } = { \frac { 12 } { 12 ^ { 2 } } } = { \frac { 1 } { 12 } } "">\(\displaystyle { x ^ { 2 } } { +y ^ { 2 } } = { \frac { { a ^ { 2 } } { +b ^ { 2 } } } { 12 ^ { 2 } } } = { \frac { 12 } { 12 ^ { 2 } } } = { \frac { 1 } { 12 } } \)</span></p><p class=""para0"" style=""text-align:left;color:black;""><span data-mathinfo=""86,1000,1050,975;;therefore"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  \therefore "">\(\displaystyle \therefore \)</span> <span data-mathinfo=""61,1000,5625,2438;;   {1} over {x^{2}+y^{2}}= 12  "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  { \dfrac { 1 } { { x ^ { 2 } } { +y ^ { 2 } } } } = 12 "">\(\displaystyle { \dfrac { 1 } { { x ^ { 2 } } { +y ^ { 2 } } } } = 12 \)</span></p><p class=""para0"" style=""text-align:left;color:black;""><br></p><p class=""para0"" style=""text-align:left;color:black;"">&lt;다른 풀이&gt;</p><p class=""para0"" style=""text-align:left;color:black;""><span data-mathinfo=""66,1000,6595,2250;;{1} over {x - y i}=a+b i    "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  { \dfrac { 1 } { x - y i } } =a+b i "">\(\displaystyle { \dfrac { 1 } { x - y i } } =a+b i \)</span>에서</p><p class=""para0"" style=""text-align:left;color:black;""><span data-mathinfo=""86,1000,8330,975;;1= LEFT(a+b i RIGHT) LEFT(x-y i RIGHT)   "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  1= { \left ( a+b i \right ) } { \left ( x-y i \right ) } "">\(\displaystyle 1= { \left ( a+b i \right ) } { \left ( x-y i \right ) } \)</span> <span data-mathinfo=""86,1000,2100,975;;CDOTS    CDOTS "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  \cdots \cdots "">\(\displaystyle \cdots \cdots \)</span> ㉠ </p><p class=""para0"" style=""text-align:left;color:black;"">또한, <span data-mathinfo=""89,1000,8330,1170;;bar{1}=bar{ LEFT(a+b i RIGHT) LEFT(x - y i RIGHT)} "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  \overline { 1 } = \overline { { \left ( a+b i \right ) } { \left ( x - y i \right ) } } "">\(\displaystyle \overline { 1 } = \overline { { \left ( a+b i \right ) } { \left ( x - y i \right ) } } \)</span>이므로</p><p class=""para0"" style=""text-align:left;color:black;""><span data-mathinfo=""86,1000,8330,975;;1= LEFT(a-b i RIGHT) LEFT(x + y i RIGHT) "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  1= { \left ( a-b i \right ) } { \left ( x + y i \right ) } "">\(\displaystyle 1= { \left ( a-b i \right ) } { \left ( x + y i \right ) } \)</span> <span data-mathinfo=""86,1000,2100,975;;CDOTS    CDOTS "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  \cdots \cdots "">\(\displaystyle \cdots \cdots \)</span> ㉡</p><p class=""para0"" style=""text-align:left;color:black;"">㉠, ㉡을 변끼리 곱하면</p><p class=""para0"" style=""text-align:left;color:black;""><span data-mathinfo=""86,1000,14890,975;;1  = LEFT(a+b i RIGHT) LEFT(x-y i RIGHT) LEFT(a-b i RIGHT) LEFT(x+y i RIGHT) "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  1 = { \left ( a+b i \right ) } { \left ( x-y i \right ) } { \left ( a-b i \right ) } { \left ( x+y i \right ) } "">\(\displaystyle 1 = { \left ( a+b i \right ) } { \left ( x-y i \right ) } { \left ( a-b i \right ) } { \left ( x+y i \right ) } \)</span></p><p class=""para0"" style=""text-align:left;text-indent:0.608em !important;margin-left:0em !important;color:black;""><span data-mathinfo=""89,1000,8465,1163;;= LEFT(a^{2}+b^{2} RIGHT) LEFT(x^{2}+y^{2} RIGHT) "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  = { \left ( { a ^ { 2 } } { +b ^ { 2 } } \right ) } { \left ( { x ^ { 2 } } { +y ^ { 2 } } \right ) } "">\(\displaystyle = { \left ( { a ^ { 2 } } { +b ^ { 2 } } \right ) } { \left ( { x ^ { 2 } } { +y ^ { 2 } } \right ) } \)</span></p><p class=""para0"" style=""text-align:left;text-indent:0.608em !important;margin-left:0em !important;color:black;""><span data-mathinfo=""89,1000,5875,1163;;= 12  LEFT(x^{2}+y^{2} RIGHT)"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  = 12 { \left ( { x ^ { 2 } } { +y ^ { 2 } } \right ) } "">\(\displaystyle = 12 { \left ( { x ^ { 2 } } { +y ^ { 2 } } \right ) } \)</span></p><p class=""para0"" style=""text-align:left;color:black;""><span data-mathinfo=""86,1000,1050,975;;therefore"" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  \therefore "">\(\displaystyle \therefore \)</span> <span data-mathinfo=""61,1000,5625,2438;;     {1} over {x^{2}+y^{2}}= 12     "" class=""itexmath"" contenteditable=""false"" data-latex=""\displaystyle  { \dfrac { 1 } { { x ^ { 2 } } { +y ^ { 2 } } } } = 12 "">\(\displaystyle { \dfrac { 1 } { { x ^ { 2 } } { +y ^ { 2 } } } } = 12 \)</span></p>"
M11AA048A032200R24,"<p class=""img_wrap"" style=""text-align: left; color: black;""><img style=""width:259px;"" src=""https://dela4pam71omq.cloudfront.net/svc07/2024/05/07/0xC26CA4EE0C1311EFB57F68AD20CAEA7D.png"" data-width=""84px, 259px""></p>",
